attempt,success,complex idx,complex name,stoichiometry,graph hash,note,ligand names,ligand stoichiometries,ligand charges,ligand donors,batch idx,batch name,metal,oxi state,topology,similarity,total charge,optimization,isomers,random seed
34,False,,,C41H39F2N5O1Pd1,,clashing ligands,"('unq_CSD-PADCUW-03-a', 'unq_CSD-PAKVUV-02-a', 'unq_CSD-PANKOH-01-c')","('C14H8F2N3', 'C5H4N1O1', 'C22H27N1')","(-1.0, -1.0, 0.0)","('C-N-N', 'N-O', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
35,False,,,C39H41F2N7O1Pd1,,clashing ligands,"('unq_CSD-PEBHUA-03-a', 'unq_CSD-PASLIH-02-a', 'unq_CSD-PAKTUR-01-a')","('C20H25N4', 'C12H7F2N2O1', 'C7H9N1')","(-1.0, -1.0, 0.0)","('C-C-C', 'N-O', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
36,False,,,C49H68N10O3Pd1,,clashing ligands,"('unq_CSD-PAGXOK-03-a', 'unq_CSD-PAZZAS-02-a', 'unq_CSD-PAYFUS-01-b')","('C12H12N3O1', 'C27H36N3O2', 'C10H20N4')","(-1.0, -1.0, 0.0)","('N-N-O', 'N-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
37,True,7.0,DEQAKUZA,C26H18F1N5O3Pd1,bf42dc7f201150f3ddb06b2413b09b36,no optimization,"('unq_CSD-PASFOF-03-a', 'unq_CSD-PEBGOV-02-a', 'unq_CSD-OZUZUG-01-a')","('C15H11N3', 'C11H7F1N1', 'N1O3')","(0.0, -1.0, -1.0)","('N-N-N', 'C-N', 'O')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
38,False,,,C53H67N6O4P3Pd1,,haptic ligand,"('unq_CSD-OZOPUQ-03-a', 'unq_CSD-PACLIQ-02-a', 'unq_CSD-PANHOE-01-c')","('C17H12N3O2', 'C16H36P3', 'C20H19N3O2')","(-1.0, -1.0, 0.0)","('N-N-O', 'P-P', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
39,True,8.0,IMEZOBOW,C46H39N6O3P1Pd1,3f3598299e786000e87dbfadfdc0d38a,no optimization,"('unq_CSD-PECPAO-03-a', 'unq_CSD-PAKHOZ-02-a', 'unq_CSD-PARFOD-01-c')","('C15H15N1O3', 'C19H13N5', 'C12H11P1')","(-2.0, 0.0, 0.0)","('N-O-O', 'N-N', 'P')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
40,False,,,C38H33Cl2N5O2Pd1S1Te1,,clashing ligands,"('unq_CSD-PEBQET-03-a', 'unq_CSD-PAYKOR-02-a', 'unq_CSD-PAFQOD-01-a')","('C13H11N2O1', 'C12H8Cl2N3', 'C13H14O1S1Te1')","(-1.0, -1.0, 0.0)","('N-N-O', 'N-N', 'Te')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
41,False,,,C37H46N6Pd1,,clashing ligands,"('unq_CSD-PAWWUG-03-a', 'unq_CSD-PACBOM-02-a', 'unq_CSD-PALVON-01-a')","('C13H19N2', 'C18H23N2', 'C6H4N2')","(-1.0, -1.0, 0.0)","('C-N-N', 'N-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
42,False,,,C39H35N9Pd1,,clashing ligands,"('unq_CSD-PATSIN-03-a', 'unq_CSD-PAHWEB-02-a', 'unq_CSD-PAFJOZ-01-b')","('C20H16N5', 'C10H8N4', 'C9H11')","(-1.0, 0.0, -1.0)","('C-N-N', 'N-N', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
43,False,,,C66H62N6O4Pd1S1,,clashing ligands,"('unq_CSD-PEBLUF-03-a', 'unq_CSD-PADSUL-02-a', 'unq_CSD-PAYDUQ-01-c')","('C10H8N3O1S1', 'C48H48N1O2', 'C8H6N2O1')","(-1.0, -1.0, 0.0)","('N-N-O', 'N-O', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
44,False,,,C70H71N7O2Pd1Si1,,clashing ligands,"('unq_CSD-PAKVAB-03-a', 'unq_CSD-OZIZAA-02-a', 'unq_CSD-PAKVOP-01-b')","('C48H51N4Si1', 'C12H12N2O2', 'C10H8N1')","(-1.0, 0.0, -1.0)","('C-C-Si', 'N-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
45,False,,,C54H46N4O1Pd1,,clashing ligands,"('unq_CSD-PAGMIV-03-a', 'unq_CSD-PANTIJ-02-a', 'unq_CSD-PAYNEJ-01-b')","('C20H11N2', 'C19H24N1O1', 'C15H11N1')","(-1.0, -1.0, 0.0)","('C-N-N', 'N-O', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
46,False,,,C46H47As2N3O2Pd1,,clashing ligands,"('unq_CSD-PACPEP-03-a', 'unq_CSD-PACGOP-02-a', 'unq_CSD-PATQEJ-01-a')","('C14H10N2O2', 'C26H24As2', 'C6H13N1')","(-2.0, 0.0, 0.0)","('N-O-O', 'As-As', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
47,False,,,C29H36B1N9O4Pd1S2,,non-planar tridentate,"('unq_CSD-PAFLAL-03-a', 'unq_CSD-OZUQIM-02-a', 'unq_CSD-PAHWOL-01-a')","('C15H22B1N6', 'C12H8N2', 'C2H6N1O4S2')","(-1.0, 0.0, -1.0)","('N-N-N', 'N-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
48,False,,,C39H47N7O3Pd1S3,,clashing ligands,"('unq_CSD-PEBHUA-03-a', 'unq_CSD-PAPHEZ-02-a', 'unq_CSD-PAZXEV-01-a')","('C20H25N4', 'C7H7S2', 'C12H15N3O3S1')","(-1.0, -1.0, 0.0)","('C-C-C', 'S-S', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
49,False,,,C37H46N8O4Pd1,,clashing ligands,"('unq_CSD-PALZOS-03-a', 'unq_CSD-PAKXAD-02-a', 'unq_CSD-PANRII-01-d')","('C15H15N5O1', 'C11H19O3', 'C11H12N3')","(-2.0, -1.0, 1.0)","('N-N-O', 'O-O', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
50,False,,,C48H46Cl1N2O6P3Pd1S1,,clashing ligands,"('unq_CSD-PAKYUX-03-a', 'unq_CSD-PAKFAI-02-b', 'unq_CSD-PAKSUQ-01-a')","('C11H13Cl1N1O3', 'C32H29P3', 'C5H4N1O3S1')","(-1.0, 0.0, -1.0)","('N-O-O', 'P-P', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
51,False,,,C57H58N12O4Pd1Si1,,clashing ligands,"('unq_CSD-PABYUN-03-a', 'unq_CSD-OZUHEX-02-a', 'unq_CSD-PASROQ-01-c')","('C17H11N2O2', 'C22H32N10O2', 'C18H15Si1')","(-1.0, 0.0, -1.0)","('C-N-N', 'N-N', 'Si')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
52,False,,,C24H45N3O3Pd1Si1,,clashing ligands,"('unq_CSD-PAGLOB-03-a', 'unq_CSD-OZOQEB-02-a', 'unq_CSD-OZONIB-01-a')","('C15H27N2Si1', 'C9H16N1O2', 'H2O1')","(-1.0, -1.0, 0.0)","('C-N-N', 'N-O', 'O')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
53,False,,,C42H48B1N8O1P1Pd1,,non-planar tridentate,"('unq_CSD-PAFLAL-03-a', 'unq_CSD-PBIMPD-02-a', 'unq_CSD-PAJRAV-01-c')","('C15H22B1N6', 'C14H13N2', 'C13H13O1P1')","(-1.0, -1.0, 0.0)","('N-N-N', 'C-N', 'P')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
54,False,,,C31H35N5O3Pd1S1,,non-planar tridentate,"('unq_CSD-PADTEV-03-a', 'unq_CSD-PEDFUZ-02-a', 'unq_CSD-PAXQUA-01-b')","('C16H12O2S1', 'C8H14', 'C7H9N5O1')","(-2.0, 0.0, 0.0)","('O-O-S', 'C-C', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
55,False,,,C30H29N3O3Pd1Si1,,haptic ligand,"('unq_CSD-PEBQET-03-a', 'unq_CSD-PACVAQ-02-a', 'unq_CSD-OZUBOB-01-b')","('C13H11N2O1', 'C11H14Si1', 'C6H4N1O2')","(-1.0, 0.0, -1.0)","('N-N-O', 'C-C', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
56,True,9.0,EPOPADUR,C60H55N9O5Pd1,5a36611d8e219a84181d4e9a9085cd5b,no optimization,"('unq_CSD-PAQGEW-03-a', 'unq_CSD-PEBNEQ-02-a', 'unq_CSD-PABSIY-01-a')","('C25H33N5', 'C24H14N3O2', 'C11H8N1O3')","(0.0, -1.0, -1.0)","('N-N-N', 'N-N', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
57,True,10.0,IROFIKAJ,C42H46N8O1Pd1S1,493eb0ec3c46f94d2be05675d613f16d,no optimization,"('unq_CSD-PANCIT-03-a', 'unq_CSD-PADKEO-02-a', 'unq_CSD-PANBEO-01-a')","('C33H33N5', 'N2O1S1', 'C9H13N1')","(0.0, -2.0, 0.0)","('N-N-N', 'O-S', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
58,True,11.0,FOWUWOQE,C48H45N5O3Pd1,9e4fe51da2bb0fc587d3bbe4f01e6b4c,no optimization,"('unq_CSD-PECPAO-03-a', 'unq_CSD-PAGHOV-02-a', 'unq_CSD-OZOVOP-01-a')","('C15H15N1O3', 'C27H23N3', 'C6H7N1')","(-2.0, 0.0, 0.0)","('N-O-O', 'N-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
59,False,,,C38H45N7O1Pd1S1,,clashing ligands,"('unq_CSD-PEBLUF-03-a', 'unq_CSD-PAHQOG-02-a', 'unq_CSD-OZOKIY-01-a')","('C10H8N3O1S1', 'C21H28N3', 'C7H9N1')","(-1.0, -1.0, 0.0)","('N-N-O', 'N-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
60,True,12.0,HIXOBODU,C24H35Cl1F1N6O2P1Pd1S2,7cb00db60563ada832c9e686ef8917fe,no optimization,"('unq_CSD-PAWWIU-03-a', 'unq_CSD-PABQIV-02-a', 'unq_CSD-PABJUX-01-b')","('C12H16Cl1N2', 'C7H10N1S2', 'C5H9F1N3O2P1')","(-1.0, -1.0, 0.0)","('C-N-N', 'S-S', 'P')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
61,False,,,C46H40N7O1P1Pd1S1Si1,,haptic ligand,"('unq_CSD-PAHTEY-03-a', 'unq_CSD-OZOHAN-02-a', 'unq_CSD-PAFWIF-01-a')","('C18H12N6', 'C16H19P1S1Si1', 'C12H9N1O1')","(0.0, -2.0, 0.0)","('N-N-N', 'C-S', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
