attempt,success,complex idx,complex name,stoichiometry,note,ligand names,ligand stoichiometries,ligand charges,batch idx,batch name,metal,oxi state,spin,topology,similarity,total charge,optimization,isomers,random seed
10,False,,,C56H39F12N7Pd1S2,clashing ligands,"('unq_CSD-QELJIB-03-a', 'unq_CSD-TIDXUB-02-b', 'unq_CSD-PICNIY-01-a')","('C39H27F12N3', 'C5H2N4S1', 'C12H10S1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
11,True,3.0,GINEVOQE,C52H54N6O8P2Pd1,optimized,"('unq_CSD-DUBTUS-03-a', 'unq_CSD-YUNZUE-02-a', 'unq_CSD-INOJAZ-01-a')","('C15H14N3O4', 'C13H19N2O2', 'C24H21N1O2P2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
12,False,,,C42H36N8O1Pd1S1,clashing ligands,"('unq_CSD-OWEWOD-03-a', 'unq_CSD-EROGEZ-02-a', 'unq_CSD-TUFBEE-01-a')","('C15H15N2S1', 'C12H7N2O1', 'C15H14N4')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
13,False,,,C39H34N4O7Pd1S1,clashing ligands,"('unq_CSD-TONRIX-03-a', 'unq_CSD-FONLOK-02-a', 'unq_CSD-CIVQAZ-01-e')","('C14H12N3O3', 'C21H16N1O2S1', 'C4H6O2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
14,False,,,C39H33Be1Cl1N6O4Pd1S1,non-planar tridentate,"('unq_CSD-JOHSOR-03-a', 'unq_CSD-QAGVIE-02-a', 'unq_CSD-SUQYOT-01-a')","('C23H19N4O2', 'C15H11N2O2S1', 'C1H3Be1Cl1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
15,False,,,C35H42N8O5Pd1,non-planar tridentate,"('unq_CSD-SUBNAH-03-a', 'unq_CSD-ALIPER-02-a', 'unq_CSD-ACARUT-01-e')","('C18H13N3O3', 'C8H18N2', 'C9H11N3O2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
16,False,,,C45H45Cl1N2O3Pd1,clashing ligands,"('unq_CSD-NETQAE-03-a', 'unq_CSD-WUWXUH-02-a', 'unq_CSD-TIYVUV-01-a')","('C9H9O1', 'C26H24N2O2', 'C10H12Cl1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
17,False,,,C41H54F4N1O2P3Pd1,clashing ligands,"('unq_CSD-FUNYAR-03-a', 'unq_CSD-QACKOV-02-a', 'unq_CSD-BESCIN-01-a')","('C24H37P3', 'C11H16N1O1', 'C6H1F4O1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
18,False,,,C35H58Br1N11Pd1Si2,non-planar tridentate,"('unq_CSD-MONVOB-03-a', 'unq_CSD-VAKXIQ-02-a', 'unq_CSD-CMTZZN-01-c')","('C13H33N3Si2', 'C20H21Br1N4', 'C2H4N4')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
19,True,4.0,VOXOFINA,C49H42Cl2N1O2P1Pd1,optimized,"('unq_CSD-JUFCUI-03-a', 'unq_CSD-GEKVUN-02-a', 'unq_CSD-YERNUF-01-d')","('C13H8Cl2N1', 'C12H15O2', 'C24H19P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
20,False,,,C48H45Cl2N4O5P1Pd1Si2,non-planar tridentate,"('unq_CSD-TEDCAI-03-a', 'unq_CSD-BISGEP-02-a', 'unq_CSD-MAXGIE-01-a')","('C23H25N4O2P1', 'C24H20O3Si2', 'C1Cl2')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
21,False,,,C29H35N6O6P1Pd1S4,clashing ligands,"('unq_CSD-GAPTEX-03-a', 'unq_CSD-EDUDOY-02-a', 'unq_CSD-HEGGIM-01-a')","('C17H17N5O4', 'C9H12O2P1S2', 'C3H6N1S2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
22,False,,,C130H122N3O3P3Pd1,clashing ligands,"('unq_CSD-QICWEG-03-a', 'unq_CSD-PEJGAN-02-a', 'unq_CSD-FEQFIS-01-a')","('C28H42N2O1', 'C34H26P2', 'C68H54N1O2P1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
23,False,,,C37H32B1N7Pd1,clashing ligands,"('unq_CSD-LIMMIF-03-a', 'unq_CSD-PBPZMO-02-a', 'unq_CSD-IVAKAR-01-f')","('C16H11N2', 'C18H16B1N4', 'C3H5N1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
24,False,,,C53H53B1N9O4P1Pd1S5,non-planar tridentate,"('unq_CSD-TUJTEY-03-a', 'unq_CSD-BFBZNI-02-a', 'unq_CSD-MIPQUY-01-a')","('C16H20B1N8S4', 'C16H12N1O1S1', 'C21H21O3P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
25,False,,,C67H66B1N11Pd1S1,non-planar tridentate,"('unq_CSD-QOXCAI-03-a', 'unq_CSD-UTADAV-02-a', 'unq_CSD-PIJLUQ-01-b')","('C42H42B1N6', 'C14H11N3', 'C11H13N2S1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
26,True,5.0,TIVALEDA,C32H28Br1Cl1N6O4Pd1S1,optimized,"('unq_CSD-NEYSAO-03-a', 'unq_CSD-CEQYII-02-a', 'unq_CSD-ZAZXIJ-01-a')","('C11H9N4O1', 'C14H10Br1Cl1N1', 'C7H9N1O3S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
27,True,6.0,ISUFUKOY,C45H37Cl2N6O3P1Pd1,optimized,"('unq_CSD-TEJTIN-03-a', 'unq_CSD-SODFAU-02-a', 'unq_CSD-QEMVEK-01-a')","('C14H8Cl2N2O2', 'C16H8N4', 'C15H21O1P1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
28,False,,,C44H39Cl1N6O3Pd1,clashing ligands,"('unq_CSD-UGADUC-03-a', 'unq_CSD-MANSAV-02-a', 'unq_CSD-RENFIA-01-e')","('C13H11Cl1N3O2', 'C15H10N1', 'C16H18N2O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
29,True,7.0,EDALUQUR,C45H55N9O6Pd1S2,optimized,"('unq_CSD-LIPJIG-03-a', 'unq_CSD-KIRBOC10-02-a', 'unq_CSD-VOQMET-01-b')","('C32H41N5O3', 'O3S1', 'C13H14N4S1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
30,False,,,C39H35N5Pd1S2,clashing ligands,"('unq_CSD-HEKWON-03-a', 'unq_CSD-DEKFAD-02-a', 'unq_CSD-WAJFIW-01-b')","('C23H18N5', 'C7H7S1', 'C9H10S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
31,True,8.0,XAGADUZA,C28H18F8N4O2Pd1,optimized,"('unq_CSD-KONNUZ-03-a', 'unq_CSD-GELPOE-02-a', 'unq_CSD-CAGHIB-01-c')","('C13H10N4', 'C6H1F8O2', 'C9H7')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
32,False,,,C54H52B1Br1N7O2P1Pd1,non-planar tridentate,"('unq_CSD-KIVMUA-03-a', 'unq_CSD-XITYUX-02-a', 'unq_CSD-LAMFUE-01-a')","('C23H21N2P1', 'C22H20N3O2', 'C9H11B1Br1N2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
33,False,,,C74H75As1I2N3O9P1Pd1,clashing ligands,"('unq_CSD-ZEMZID-03-a', 'unq_CSD-RAKKUM-02-a', 'unq_CSD-KAZSIO-01-b')","('C18H21N3O1', 'C30H30I2O8', 'C26H24As1P1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
34,False,,,C53H47N8O1P1Pd1S1,clashing ligands,"('unq_CSD-TACPAR-03-a', 'unq_CSD-GIZRAL-02-a', 'unq_CSD-CUYWOL-01-a')","('C14H13N2O1', 'C24H22N3S1', 'C15H12N3P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
35,False,,,C52H50Cl4N7P2Pd1S1Sb1,clashing ligands,"('unq_CSD-GEDTOB-03-a', 'unq_CSD-BAKBUL-02-a', 'unq_CSD-KERYOX-01-c')","('C36H28Cl4P2Sb1', 'C5H12N3S1', 'C11H10N4')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
36,False,,,C50H47N4O3P1Pd1,clashing ligands,"('unq_CSD-TEMWAM-03-a', 'unq_CSD-OZOQEB-02-a', 'unq_CSD-EWEKOH-01-b')","('C13H12N3O1', 'C9H16N1O2', 'C28H19P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
37,True,9.0,IKOTENIC,C36H39B1Cl2N4O5Pd1,optimized,"('unq_CSD-ZUFZEH-03-a', 'unq_CSD-ZUPCUK-02-a', 'unq_CSD-LUBHOF-01-c')","('C11H10Cl1N2O2', 'C18H14Cl1N2O2', 'C7H15B1O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
38,False,,,C79H67Cl1N6O3Pd1S1,broken bonds,"('unq_CSD-ANUCUK-03-a', 'unq_CSD-TENCOG-02-a', 'unq_CSD-SOSSOI-01-b')","('C16H14N2O3', 'C56H47Cl1N2', 'C7H6N2S1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
39,False,,,C40H38F3N6O5P1Pd1,clashing ligands,"('unq_CSD-WACWUV-03-a', 'unq_CSD-EZUXAZ-02-a', 'unq_CSD-XATQUG-01-b')","('C8H9N4O2', 'C15H14N1O2', 'C17H15F3N1O1P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
40,False,,,C34H24B1F2N9O6Pd1,clashing ligands,"('unq_CSD-BEGRAH-03-a', 'unq_CSD-REPYUH-02-a', 'unq_CSD-GATDOW-01-a')","('C9H8N3O3', 'C7H4N3O1', 'C18H12B1F2N3O2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
41,False,,,C53H65Cl1N6O2Pd1,clashing ligands,"('unq_CSD-CERDIO-03-a', 'unq_CSD-SADFOU-02-a', 'unq_CSD-VICFIZ-01-d')","('C25H29N3', 'C15H24N2O2', 'C13H12Cl1N1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
42,False,,,C40H51N5O4Pd1S1,clashing ligands,"('unq_CSD-TEVQOD-03-a', 'unq_CSD-MBYPTA-02-a', 'unq_CSD-TATWAM-01-a')","('C20H23N5', 'C8H11O4', 'C12H17S1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
43,False,,,C31H36N8O4P2Pd1S2,clashing ligands,"('unq_CSD-HIJSOI-03-a', 'unq_CSD-KEQHOD-02-a', 'unq_CSD-LAYTAK-01-a')","('C7H5N1O2', 'C12H24P2', 'C12H7N7O2S2')","(0.0, 0.0, -2.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
44,False,,,C41H66N8O2Pd1,non-planar tridentate,"('unq_CSD-CATKOX-03-a', 'unq_CSD-YEFHOG-02-a', 'unq_CSD-MERZOB-01-c')","('C20H27N3O2', 'C12H19N2', 'C9H20N3')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
45,False,,,C40H54N8O3Pd1S1,non-planar tridentate,"('unq_CSD-KAYKOL-03-a', 'unq_CSD-FOFDUB-02-a', 'unq_CSD-OZALIL-01-b')","('C18H22N4O2', 'C12H13N4O1S1', 'C10H19')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
46,False,,,C87H73N5O2P2Pd1,clashing ligands,"('unq_CSD-XEXLAO-03-a', 'unq_CSD-DIJJEN-02-a', 'unq_CSD-PEXZUO-01-b')","('C36H23N2', 'C38H38N1O1P2', 'C13H12N2O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
47,False,,,C41H37N9O2Pd1,clashing ligands,"('unq_CSD-WEHLOM-03-a', 'unq_CSD-VEFPII-02-a', 'unq_CSD-XIVNAS-01-b')","('C17H13N2', 'C10H6N5', 'C14H18N2O2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
48,False,,,C27H41N6O4P1Pd1S1,non-planar tridentate,"('unq_CSD-ERITOR-03-a', 'unq_CSD-RALNUR-02-b', 'unq_CSD-TIWYUW-01-a')","('C12H14N3O2', 'C6H5N2O2S1', 'C9H22N1P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
49,False,,,C45H36N3O3P1Pd1S3,non-planar tridentate,"('unq_CSD-MEDDEF-03-a', 'unq_CSD-QAZXAT-02-a', 'unq_CSD-WUBBAW-01-c')","('C19H15P1S3', 'C11H10N2O2', 'C15H11N1O1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
50,False,,,C65H80N3P3Pd1Se2,clashing ligands,"('unq_CSD-OXECOK-03-a', 'unq_CSD-USIWIE-02-a', 'unq_CSD-CRUPIM10-01-f')","('C38H44N1P2', 'C17H21N1Se2', 'C10H15N1P1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
51,False,,,C30H31Br3Cl1N3O5Pd1S1,clashing ligands,"('unq_CSD-WAZBIK-03-a', 'unq_CSD-BEMZEA-02-a', 'unq_CSD-QAGQOI-01-b')","('C14H18Cl1N2O2', 'C7H2Br3O2', 'C9H11N1O1S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
52,False,,,C51H58B1Br2F2N7P2Pd1,clashing ligands,"('unq_CSD-EFOHUE-03-a', 'unq_CSD-OGOMIH-02-a', 'unq_CSD-GAQXEE-01-a')","('C26H36Br2N1P2', 'C16H16N4', 'C9H6B1F2N2')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
53,True,10.0,SELOBIDU,C29H27N7O4Pd1S1,optimized,"('unq_CSD-AWIHOF-03-a', 'unq_CSD-PETRUC-02-a', 'unq_CSD-PIHPUT-01-b')","('C13H10N2O3S1', 'C11H11N3O1', 'C5H6N2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
54,False,,,C75H80Cl2N9O3P1Pd1,clashing ligands,"('unq_CSD-WENHAB-03-a', 'unq_CSD-QAXFUR-02-a', 'unq_CSD-EDEMEH-01-b')","('C30H31N6', 'C12H17Cl2N2O1', 'C33H32N1O2P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
55,False,,,C90H91F3N4O3P2Pd1S1,non-planar tridentate,"('unq_CSD-NIMRAC-03-a', 'unq_CSD-WEZFUF-02-b', 'unq_CSD-LASRAZ-01-a')","('C36H36O3P2', 'C48H51N2', 'C6H4F3N2S1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
56,False,,,C44H38N8O4Pd1S2,clashing ligands,"('unq_CSD-YUZSAP-03-a', 'unq_CSD-GOYQAO-02-a', 'unq_CSD-WELQEK-01-a')","('C17H19N5O2', 'C12H6S2', 'C15H13N3O2')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
57,False,,,C64H58N3O1P3Pd1,non-planar tridentate,"('unq_CSD-TEZHUB-03-a', 'unq_CSD-ZATSOF-02-a', 'unq_CSD-KIHJIU-01-c')","('C35H35P3', 'C22H15N2O1', 'C7H8N1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
58,False,,,C29H34N8O3Pd1S3,non-planar tridentate,"('unq_CSD-QINSEN-03-a', 'unq_CSD-BOCSAN-02-a', 'unq_CSD-PANBEO-01-a')","('C12H14N6O1', 'C8H7N1O2S3', 'C9H13N1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
59,False,,,C38H34N6O5Pd1S1,clashing ligands,"('unq_CSD-EHASAK-03-a', 'unq_CSD-YAYYAZ-02-a', 'unq_CSD-EGALAZ-01-c')","('C19H12N3O1', 'C13H15N2O3', 'C6H7N1O1S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
60,False,,,C71H77N5O2Pd1,clashing ligands,"('unq_CSD-CAFVOX-03-a', 'unq_CSD-CUCKUI-02-a', 'unq_CSD-POGYIV-01-a')","('C22H15N1O2', 'C12H22N2', 'C37H40N2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
61,False,,,C47H59Br1N5P1Pd1S2Te2,clashing ligands,"('unq_CSD-YOHPIV-03-a', 'unq_CSD-TUTPEE-02-a', 'unq_CSD-KIGJIV-01-a')","('C25H19N1P1S2', 'C16H36N4Te2', 'C6H4Br1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
62,False,,,C51H57N5O3Pd1,clashing ligands,"('unq_CSD-BUCDEJ-03-a', 'unq_CSD-PAMJEV-02-a', 'unq_CSD-TOMMUD-01-e')","('C26H28N4', 'C14H20N1O3', 'C11H9')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
63,False,,,C46H50N10Pd1S2,clashing ligands,"('unq_CSD-QOMMAH-03-a', 'unq_CSD-SOXVAD-02-a', 'unq_CSD-ECOXIE-01-c')","('C20H27N5', 'C8H10N4S2', 'C18H13N1')","(0.0, 0.0, -2.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
64,True,11.0,FOLIQIJE,C43H53Br1N4O8Pd1,optimized,"('unq_CSD-TIBSAZ-03-a', 'unq_CSD-TUFPUF-02-a', 'unq_CSD-SASWOB-01-b')","('C11H13Br1N1O4', 'C15H25O2', 'C17H15N3O2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
65,True,12.0,EYUNIVIP,C59H53F2N5O4P2Pd1,optimized,"('unq_CSD-IBUDUG-03-a', 'unq_CSD-NUHLUX-02-a', 'unq_CSD-CICHEC-01-c')","('C16H19N4O1', 'C36H28F2P2', 'C7H6N1O3')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
66,False,,,C38H35F3N8O1Pd1S2,non-planar tridentate,"('unq_CSD-OSADIW-03-a', 'unq_CSD-RIXGOU-02-a', 'unq_CSD-CIFTIV-01-b')","('C19H14F3N3O1', 'C6H4N2S2', 'C13H17N3')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
67,False,,,C34H39N5O2Pd1S2Se1Si1,clashing ligands,"('unq_CSD-ZOFJOT-03-a', 'unq_CSD-IBUQUR-02-a', 'unq_CSD-PUXCIX-01-c')","('C19H19N3S2', 'C5H4N1O2Se1', 'C10H16N1Si1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
